  parsed 250  with data 210
  parsed 500  with data 419
  parsed 750  with data 623
  parsed 1000  with data 802
  parsed 1250  with data 1003
  parsed 1500  with data 1207
  parsed 1750  with data 1411
  parsed 2000  with data 1629
  parsed 2250  with data 1843
done: 2040/2486 symbols have parsed fundamentals
